#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-3398505.0324143823,12929.302734375,-3385575.7296800073,7.226229830007126,2298.990746354077,0.9287444592008742,0
2000,7.999999999999562,-3397155.2316331323,22067.37890625,-3375087.8527268823,12.333530662751725,2298.990746354077,0.9287444592008742,214
3000,11.999999999999122,-3390915.9699143823,32540.53515625,-3358375.4347581323,18.187012142991346,2298.990746354077,0.9287444592008742,212
4000,15.999999999998682,-3384126.8019456323,43428.3828125,-3340698.4191331323,24.27226601433789,2298.990746354077,0.9287444592008742,212
5000,20.000000000000018,-3377108.8878831323,54042.515625,-3323066.3722581323,30.204539759110144,2298.990746354077,0.9287444592008742,208
6000,24.000000000001354,-3370989.3917893823,64675.36328125,-3306314.0285081323,36.14727329161794,2298.990746354077,0.9287444592008742,211
7000,28.00000000000269,-3364354.9308518823,75556.078125,-3288798.8527268823,42.2285406105944,2298.990746354077,0.9287444592008742,212
8000,32.00000000000402,-3357356.4894456323,86168.4375,-3271188.0519456323,48.159823175314074,2298.990746354077,0.9287444592008742,209
9000,36.000000000001805,-3351258.7589768823,97176.0546875,-3254082.7042893823,54.31201663166574,2298.990746354077,0.9287444592008742,210
10000,39.99999999999959,-3344261.0011643823,108062.5078125,-3236198.4933518823,60.396491094909265,2298.990746354077,0.9287444592008742,208
11000,43.99999999999737,-3337234.5167893823,118890.703125,-3218343.8136643823,66.44840507510375,2298.990746354077,0.9287444592008742,208
12000,47.999999999995154,-3329104.8449143823,129859.5859375,-3199245.2589768823,72.57894976184873,2298.990746354077,0.9287444592008742,209
13000,51.99999999999294,-3321805.4816331323,139933.890625,-3181871.5910081323,78.20951179175947,2298.990746354077,0.9287444592008742,207
14000,55.99999999999072,-3314063.9230393823,151061.25,-3163002.6730393823,84.42862955060446,2298.990746354077,0.9287444592008742,207
15000,59.9999999999885,-3306996.4621018823,162023.9375,-3144972.5246018823,90.5557116568133,2298.990746354077,0.9287444592008742,206
16000,63.99999999998629,-3298682.4152268823,172184.15625,-3126498.2589768823,96.23429133887508,2298.990746354077,0.9287444592008742,206
17000,67.99999999999118,-3291809.9464768823,182690.75,-3109119.1964768823,102.10646114785949,2298.990746354077,0.9287444592008742,209
18000,71.99999999999606,-3283819.0050706323,194193.328125,-3089625.6769456323,108.53528990038545,2298.990746354077,0.9287444592008742,208
19000,76.00000000000095,-3274656.9425706323,204350.3125,-3070306.6300706323,114.21206187962005,2298.990746354077,0.9287444592008742,208
20000,80.00000000000584,-3265680.5753831323,215382.140625,-3050298.4347581323,120.37778690858389,2298.990746354077,0.9287444592008742,207
21000,84.00000000001073,-3256789.3917893823,225877.078125,-3030912.3136643823,126.24344200109933,2298.990746354077,0.9287444592008742,207
22000,88.00000000001562,-3247548.5636643823,235975.65625,-3011572.9074143823,131.88757053507786,2298.990746354077,0.9287444592008742,207
23000,92.0000000000205,-3237474.4738206323,247752.984375,-2989721.4894456323,138.4699579664114,2298.990746354077,0.9287444592008742,206
24000,96.0000000000254,-3228556.4699143823,258515.09375,-2970041.3761643823,144.48493629874326,2298.990746354077,0.9287444592008742,205
25000,100.00000000003028,-3217655.9425706323,269243.34375,-2948412.5988206323,150.48099051500503,2298.990746354077,0.9287444592008742,205
26000,104.00000000003517,-3207816.9581956323,279511.125,-2928305.8331956323,156.21968723215048,2298.990746354077,0.9287444592008742,205
27000,108.00000000004006,-3195282.2785081323,290681.9375,-2904600.3410081323,162.4630910854998,2298.990746354077,0.9287444592008742,205
28000,112.00000000004495,-3184193.1574143823,300506.5625,-2883686.5949143823,167.95410631672956,2298.990746354077,0.9287444592008742,204
29000,116.00000000004984,-3171796.5011643823,310779.40625,-2861017.0949143823,173.69563248177843,2298.990746354077,0.9287444592008742,204
30000,120.00000000005473,-3158791.7433518823,322313.125,-2836478.6183518823,180.14186583205597,2298.990746354077,0.9287444592008742,203
31000,124.00000000005961,-3144957.4621018823,333714.96875,-2811242.4933518823,186.51439381102227,2298.990746354077,0.9287444592008742,203
32000,128.0000000000645,-3124405.5871018823,343439.75,-2780965.8371018823,191.9496060419347,2298.990746354077,0.9287444592008742,203
33000,132.00000000005517,-3111229.0128831323,355776.9375,-2755452.0753831323,198.84490071964882,2298.990746354077,0.9287444592008742,202
34000,136.00000000004584,-3088090.3683518823,365443.25,-2722647.1183518823,204.24743457384955,2298.990746354077,0.9287444592008742,202
35000,140.00000000003652,-3070853.4386643823,375446.9375,-2695406.5011643823,209.83852842536683,2298.990746354077,0.9287444592008742,202
