#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
1000,4.000000000000003,-2597207.7744197994,9349.3916015625,-2587858.382818237,7.067869790577455,1701.726773609251,0.9306197835888467,0
2000,7.999999999999562,-2595637.4072322994,16331.7392578125,-2579305.667974487,12.346322781964732,1701.726773609251,0.9306197835888467,436
3000,11.999999999999122,-2591558.3291072994,24213.669921875,-2567344.6591854244,18.304834523268124,1701.726773609251,0.9306197835888467,437
4000,15.999999999998682,-2586646.8603572994,32096.05078125,-2554550.8095760494,24.26368659921409,1701.726773609251,0.9306197835888467,435
5000,20.000000000000018,-2581377.5341854244,39745.01171875,-2541632.5224666744,30.046079961625853,1701.726773609251,0.9306197835888467,434
6000,24.000000000001354,-2576524.6357479244,48042.01953125,-2528482.6162166744,36.31837802863092,1701.726773609251,0.9306197835888467,433
7000,28.00000000000269,-2571034.9560604244,55579.8515625,-2515455.1044979244,42.01676115028936,1701.726773609251,0.9306197835888467,432
8000,32.00000000000402,-2566077.1884822994,63721.5234375,-2502355.6650447994,48.17162973879619,1701.726773609251,0.9306197835888467,430
9000,36.000000000001805,-2560957.1630916744,71479.5703125,-2489477.5927791744,54.03648891664179,1701.726773609251,0.9306197835888467,428
10000,39.99999999999959,-2556018.4248104244,79845.0625,-2476173.3623104244,60.360559191488505,1701.726773609251,0.9306197835888467,426
11000,43.99999999999737,-2551548.7373104244,87639.828125,-2463908.9091854244,66.25317668291564,1701.726773609251,0.9306197835888467,425
12000,47.999999999995154,-2546669.5693416744,95886.0390625,-2450783.5302791744,72.48707378079152,1701.726773609251,0.9306197835888467,424
13000,51.99999999999294,-2540481.7802791744,103441.734375,-2437040.0459041744,78.19896102670617,1701.726773609251,0.9306197835888467,423
